1;;;
Frequency;Gain Phi;Gain Theta. dB;Gain . dB
800000000;-13.60997581;-0.352561623;-0.293986761
805000000;-13.52509727;-0.066572356;-0.006431433
810000000;-13.49356847;0.178471816;0.236206817
815000000;-13.27622205;0.529495799;0.586927807
820000000;-13.18170956;0.703644773;0.765096913
825000000;-13.17083006;0.829789075;0.894159342
830000000;-13.10464659;1.078631631;1.140297285
835000000;-13.18660335;1.216516945;1.278292101
840000000;-13.2956391;1.2931158;1.358312782
845000000;-13.53197807;1.541442619;1.582148238
850000000;-13.12245301;1.647578389;1.716861753
855000000;-12.10539619;1.708601737;1.818498223
860000000;-12.32340243;1.816880317;1.897936867
865000000;-12.64466965;1.938402623;2.006898967
870000000;-12.91964215;1.973662178;2.038975604
875000000;-13.22402468;1.954810445;2.018666397
880000000;-13.49957058;1.928676596;1.993355069
885000000;-13.69061229;1.968185657;2.033567604
890000000;-13.93482191;1.962065698;2.027669997
895000000;-14.23043733;1.781021305;1.851901893
900000000;-14.42592367;1.782039987;1.856536807
905000000;-14.55318373;1.689542693;1.766782335
910000000;-14.93734554;1.402499309;1.486053735
915000000;-15.33203999;1.217691486;1.302788935
920000000;-15.63654066;1.107705445;1.194122715
925000000;-15.82256818;0.97156422;1.060605331
930000000;-15.87555053;0.810076236;0.902170337
935000000;-15.76732991;0.651207855;0.748540828
940000000;-15.6231051;0.502083862;0.60446984
945000000;-15.58797398;0.323983316;0.428381569
950000000;-15.11336655;0.145555948;0.2617967
955000000;-14.93049462;0.05999589;0.183575969
960000000;-14.75389537;-0.044682932;0.085713662
965000000;-14.62300032;-0.242536344;-0.104208202
970000000;-14.40516933;-0.320839672;-0.174799738
975000000;-14.18758083;-0.386671439;-0.231042036
980000000;-14.16076818;-0.633158577;-0.468468405
985000000;-14.20387723;-0.858190734;-0.687452633
990000000;-14.11593622;-0.942687065;-0.765486202
995000000;-14.07824127;-1.08507696;-0.902883345
1000000000;-14.12719672;-1.326717125;-1.137849667
